Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld,sup,Tbld,ret,Tout,sup,Tout,ret,F hw,Thw in,c,Thw out,Fhp,Thp,sup,Thp,ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
Wed Mar 01 2017 13:30:00 GMT+0100 (CET),138.11,5.6525,22.98366,0.35,8952000,25.3666666667,24.3666666667,5.1333333333,8.2666666667,1,20.1666666667,41.9666666667,0,31.0333333333,24.9333333333,22.3257588607,22.3798261711,22.1540336147,22.5431910882,20.5632504854,21.6444020575,21.829399652,21.5913706729,6978000,0,414.33,,,,,,,
Wed Mar 01 2017 13:45:00 GMT+0100 (CET),99.67,5.60595,22.98033,348,8952000,24.7333333333,24,6.2333333333,9.2666666667,0,22,40.4666666667,0,30.5666666667,24.9666666667,22.32141139,22.4265418626,22.1901378771,22.5450654724,20.596449002,21.6398598007,21.7684382394,21.6572695817,6978000,0,299.00,,,,,,,
Wed Mar 01 2017 14:00:00 GMT+0100 (CET),54.67,5.5461,22.97367,348,8952000,24.1666666667,23.7666666667,7.6,10.3,0,23.1666666667,39.1666666667,0,30.3,25.0666666667,22.3126116167,22.3430518975,22.1345155294,22.6411248937,20.5709351293,21.5253998142,21.7672625293,21.6023453328,6978000,0,164.00,,,,,,,
Wed Mar 01 2017 14:15:00 GMT+0100 (CET),48.11,5.80545,22.97367,0.3493333333,8952000,23.9,23.5333333333,8.9666666667,11.3666666667,0,24.5666666667,38.0666666667,0,30,25,22.3048269155,22.3309386792,22.1991214551,22.5466351005,20.59201527,21.4080138699,21.8352979185,21.6421269443,6978000,0,144.33,,,,,,,
Wed Mar 01 2017 14:30:00 GMT+0100 (CET),38.89,5.935125,22.99365,0.3443333333,8952000,23.6333333333,23.3666666667,10.2,12.3666666667,0.1333333333,8.9666666667,49.1,0,29.6666666667,25,22.3207776328,22.3311424277,22.1943925787,22.5974201081,20.704173473,21.342236509,21.7582291562,21.601220347,6978000,0,116.67,,,,,,,
Wed Mar 01 2017 14:45:00 GMT+0100 (CET),30.67,5.8786,23.00364,348,8952000,23.4666666667,23.2333333333,7.4,6.2666666667,3,11.8,46.2,0,29.6666666667,24.4333333333,22.3233769638,22.3351970787,22.1821023974,22.5487719099,21.0281865622,21.3294738032,21.8203510975,21.7099362688,6978000,0,92.00,,,,,,,
Wed Mar 01 2017 15:00:00 GMT+0100 (CET),23.11,5.5727,22.99698,0.3483333333,8952000,23.3333333333,23.1666666667,4.0666666667,1.7333333333,0.0013333333,15.6666666667,43.7666666667,0,29.2333333333,24.3333333333,22.3213671519,22.5332849158,22.1388054747,22.5565024336,21.1703021537,21.3871743717,22.0467770743,21.7807250869,6978000,0,69.33,,,,,,,
Wed Mar 01 2017 15:15:00 GMT+0100 (CET),63.56,5.0274,23.02029,0.3476666667,8952000,23.5333333333,23.0333333333,4.4,3.0333333333,1,18.6,41.8333333333,11,38.6666666667,23.6666666667,22.3111174704,22.556418895,22.1509156542,22.6021100461,21.3396070652,21.5238401132,21.9686998199,21.8461237405,6978000,253.5,190.67,,,,,,,
Wed Mar 01 2017 15:30:00 GMT+0100 (CET),41.56,5.030725,23.03361,0.3483333333,8952000,23.3666666667,23.0333333333,5.0333333333,7.4666666667,0.0336666667,11.4,50.1666666667,0.0046666667,45.6333333333,23.1666666667,22.321103932,22.4746325087,22.1738861324,22.5263235169,21.1870680568,21.3891357609,21.7857190983,21.7775301422,6978000,127,124.67,,,,,,,
Wed Mar 01 2017 15:45:00 GMT+0100 (CET),23.11,4.771375,23.02029,0.3353333333,8952000,23.2,23,5.7,10.0666666667,0.0023333333,16.1,46.9333333333,0,43.6666666667,23.3666666667,22.321156945,22.3408208712,22.1350550287,22.5338464273,20.9964603565,21.3297132233,21.8473878734,21.6576755459,6978000,0,69.33,,,,,,,
Wed Mar 01 2017 16:00:00 GMT+0100 (CET),19.22,4.093075,23.01363,348,8952000,23.1333333333,23,6.6333333333,10.7333333333,1,19.3,44.4333333333,0,41.9,23.7,22.3214518707,22.3326118365,22.19719651,22.5333544195,20.9145664282,21.3237561316,21.7582830947,21.6026922688,6978000,0,57.67,,,,,,,
Wed Mar 01 2017 16:15:00 GMT+0100 (CET),23.78,3.73065,22.99698,0.3506666667,8952000,23.0333333333,22.8666666667,8,11.6333333333,1,21.6,42.5,0,40.2,23.9666666667,22.3022605525,22.3906050272,22.1801645252,22.5849275392,20.7926506202,21.3186871587,21.7578880851,21.6481393845,6978000,0,71.33,,,,,,,
